M,Scheduling Method,Chunk Size,T1,T2,T4,T8,S2,S4,S8
100,static ,10,0.000117,0.000144,0.000157,0.000292,0.809425,0.742058,0.400274
100,dynamic,10,0.000020,0.000165,0.000817,0.000451,0.122807,0.024853,0.045061
100,guided ,10,0.000020,0.000069,0.000553,0.000283,0.286541,0.035805,0.069989
100,static ,50,0.000024,0.000093,0.000363,0.000464,0.258900,0.066134,0.051746
100,dynamic,50,0.000008,0.000202,0.000598,0.000670,0.037661,0.012711,0.011337
100,guided ,50,0.000010,0.000117,0.000635,0.000551,0.087809,0.016223,0.018707
100,static ,100,0.000007,0.000253,0.000234,0.000318,0.025732,0.027802,0.020434
100,dynamic,100,0.000006,0.000185,0.000124,0.000274,0.033459,0.050000,0.022619
100,guided ,100,0.000007,0.000184,0.000299,0.000366,0.037459,0.023061,0.018832
100,static ,1000,0.000011,0.000259,0.000415,0.000145,0.043998,0.027443,0.078675
100,dynamic,1000,0.000006,0.000071,0.000063,0.000344,0.084270,0.094637,0.017432
100,guided ,1000,0.000007,0.000081,0.000244,0.000453,0.083951,0.027903,0.015004
100,static ,5000,0.000007,0.000089,0.000253,0.000541,0.081173,0.028470,0.013299
100,dynamic,5000,0.000006,0.000073,0.000246,0.000386,0.083106,0.024756,0.015795
100,guided ,5000,0.000006,0.000044,0.000290,0.000373,0.139269,0.021056,0.016363
100,static ,10000,0.000009,0.000085,0.000093,0.000265,0.104338,0.095802,0.033585
100,dynamic,10000,0.000021,0.000136,0.000112,0.000269,0.157469,0.190222,0.079495
100,guided ,10000,0.000010,0.000102,0.000325,0.000430,0.100586,0.031692,0.023970
100,static ,50000,0.000010,0.000405,0.000188,0.000583,0.025958,0.055792,0.017998
100,dynamic,50000,0.000006,0.000400,0.000310,0.000923,0.015996,0.020619,0.006931
100,guided ,50000,0.000009,0.000119,0.000268,0.000464,0.075567,0.033632,0.019401
100,static ,100000,0.000008,0.000196,0.000227,0.000182,0.040858,0.035258,0.044004
100,dynamic,100000,0.000008,0.000086,0.000096,0.000249,0.090058,0.079958,0.030973
100,guided ,100000,0.000007,0.000069,0.000066,0.000329,0.098694,0.103501,0.020656
250,static ,10,0.000013,0.000159,0.000286,0.000334,0.081607,0.045407,0.038969
250,dynamic,10,0.000026,0.000073,0.000080,0.000158,0.357923,0.328733,0.165404
250,guided ,10,0.000014,0.000127,0.000196,0.000150,0.110063,0.071319,0.093583
250,static ,50,0.000012,0.000151,0.000349,0.000263,0.081009,0.034927,0.046441
250,dynamic,50,0.000012,0.000120,0.000122,0.000168,0.100666,0.099262,0.071981
250,guided ,50,0.000011,0.000056,0.000079,0.000129,0.202847,0.144854,0.088304
250,static ,100,0.000012,0.000079,0.000170,0.000174,0.153846,0.071638,0.070236
