M,T1,T2,T4,T8,S2,S4,S8
20,2.44214,1.77419,1.90274,0.831442,1.37648,1.28349,2.93723
50,1.80118,1.93566,1.86923,0.85887,0.930525,0.963595,2.09715
100,1.65991,1.67447,1.65828,1.97199,0.991305,1.00098,0.841744
500,1.65141,1.67168,1.71914,1.74518,0.987874,0.960602,0.946269
1000,1.77037,1.67615,1.73061,1.67455,1.05621,1.02297,1.05722
2000,1.54004,1.85444,1.71219,1.6837,0.830461,0.899456,0.914676
5000,1.7208,1.94447,1.73266,1.8246,0.884971,0.993155,0.943111
10000,1.84539,1.70215,1.72642,1.80645,1.08415,1.06891,1.02156
20000,1.50555,1.62941,0.833558,1.87858,0.923985,1.80617,0.80143
50000,1.69035,0.774201,1.95393,1.86721,2.18335,0.865103,0.905281
100000,1.92965,1.9617,1.99943,1.94926,0.983662,0.9651,0.98994
200000,1.68872,1.98425,1.98513,1.94665,0.851062,0.850685,0.867501
500000,2.03091,1.67507,1.78514,1.66736,1.21243,1.13768,1.21804
1000000,1.95265,1.80023,1.93197,2.01503,1.08467,1.0107,0.969043
2000000,1.82819,1.8741,1.72638,1.94367,0.975503,1.05897,0.940587
5000000,1.83277,1.82963,1.93311,1.91831,1.00172,0.948094,0.955409
10000000,1.71675,1.79474,1.95441,1.88788,0.956545,0.878398,0.909353
20000000,2.19637,1.1633,2.24317,2.17857,1.88805,0.979137,1.00817
50000000,2.65486,4.50519,2.88175,2.15938,0.589289,0.921267,1.22945
100000000,3.23454,3.23795,3.46521,3.4004,0.998947,0.933433,0.951223
20,1.69161,0.544325,0.525186,0.530903,3.10772,3.22097,3.18629
50,0.496214,0.488252,0.486235,0.49089,1.01631,1.02052,1.01085
100,0.479645,0.50583,0.447436,0.495054,0.948234,1.07199,0.968874
500,0.493834,0.492116,0.478211,0.509086,1.00349,1.03267,0.97004
1000,0.509824,0.501229,0.492267,0.514446,1.01715,1.03567,0.991016
2000,0.500099,0.474739,0.492648,0.502026,1.05342,1.01512,0.996162
5000,0.510109,0.508814,0.493194,0.492152,1.00255,1.0343,1.03649
10000,0.498381,0.491493,0.434793,0.481262,1.01401,1.14625,1.03557
20000,0.494489,0.484173,0.497502,0.484847,1.02131,0.993944,1.01989
50000,0.507532,0.481008,0.51052,0.487772,1.05514,0.994147,1.04051
100000,0.493018,0.482173,0.487191,0.48742,1.02249,1.01196,1.01148
200000,0.508433,0.481948,0.503541,0.487419,1.05495,1.00972,1.04311
500000,0.503682,0.527516,0.486895,0.488128,0.954818,1.03448,1.03186
1000000,0.508743,0.511656,0.510478,0.495307,0.994307,0.996601,1.02713
2000000,0.510009,0.493919,0.50828,0.500992,1.03258,1.0034,1.018
5000000,0.525196,0.57564,0.494639,0.512583,0.912369,1.06178,1.02461
10000000,0.548407,0.600765,0.589406,0.519429,0.912848,0.93044,1.05579
20000000,0.624266,0.609519,0.58948,0.593903,1.02419,1.05901,1.05112
50000000,0.832146,0.788998,0.65233,0.698499,1.05469,1.27565,1.19133
100000000,1.13829,1.02555,1.07331,1.0384,1.10993,1.06054,1.0962
